ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
202425,VTPS010006,SCUOLA SECONDARIA II GRADO,2,159,150,9,5,4
202425,ALEE809035,SCUOLA PRIMARIA,3,11,6,5,0,5
202425,CNEE839028,SCUOLA PRIMARIA,2,14,14,0,0,0
202425,BLEE82204D,SCUOLA PRIMARIA,5,9,9,0,0,0
202425,UDMM85202V,SCUOLA SECONDARIA I GRADO,2,27,27,0,0,0
202425,BSMM894015,SCUOLA SECONDARIA I GRADO,2,41,30,11,1,10
202425,BOMM853018,SCUOLA SECONDARIA I GRADO,3,123,78,45,6,39
202425,RMMM83501X,SCUOLA SECONDARIA I GRADO,2,112,99,13,9,4
202425,FEEE811023,SCUOLA PRIMARIA,1,35,14,21,0,21
202425,BSEE860024,SCUOLA PRIMARIA,1,18,17,1,0,1
202425,RMMM869013,SCUOLA SECONDARIA I GRADO,2,121,117,4,1,3
202425,RCEE834023,SCUOLA PRIMARIA,4,20,19,1,0,1
202425,VEMM846016,SCUOLA SECONDARIA I GRADO,3,72,43,29,2,27
202425,NAEE8AS01C,SCUOLA PRIMARIA,4,30,30,0,0,0
202425,PGEE051042,SCUOLA PRIMARIA,5,13,11,2,0,2
202425,TVEE83803A,SCUOLA PRIMARIA,4,33,28,5,3,2
202425,CEPS032015,SCUOLA SECONDARIA II GRADO,4,10,9,1,0,1
202425,VBTN006017,SCUOLA SECONDARIA II GRADO,4,15,12,3,0,3
202425,RMEE84602C,SCUOLA PRIMARIA,3,29,22,7,0,7
202425,BTPM05701X,SCUOLA SECONDARIA II GRADO,5,52,51,1,0,1
202425,RMEE8DF03D,SCUOLA PRIMARIA,4,41,29,12,1,11
202425,LEEE86502C,SCUOLA PRIMARIA,3,30,30,0,0,0
202425,PREE81502R,SCUOLA PRIMARIA,2,11,9,2,0,2
202425,VEMM867017,SCUOLA SECONDARIA I GRADO,3,123,102,21,14,7
