ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
202425,CSEE8AJ01P,SCUOLA PRIMARIA,3,4,4,0,0,0
202425,VIEE85902N,SCUOLA PRIMARIA,1,23,22,1,0,1
202425,FREE86102Q,SCUOLA PRIMARIA,1,15,15,0,0,0
202425,BRRI014511,SCUOLA SECONDARIA II GRADO,5,22,21,1,0,1
202425,CSTD067013,SCUOLA SECONDARIA II GRADO,5,55,48,7,1,6
202425,FIEE83102G,SCUOLA PRIMARIA,4,17,13,4,1,3
202425,BOTD01601P,SCUOLA SECONDARIA II GRADO,4,74,63,11,3,8
202425,CHEE82802P,SCUOLA PRIMARIA,4,28,26,2,1,1
202425,MIEE8FA033,SCUOLA PRIMARIA,1,35,19,16,3,13
202425,BSEE88501B,SCUOLA PRIMARIA,4,45,12,33,1,32
202425,CATD03301A,SCUOLA SECONDARIA II GRADO,4,39,39,0,0,0
202425,MCEE83004X,SCUOLA PRIMARIA,3,15,14,1,0,1
202425,RCPS04102P,SCUOLA SECONDARIA II GRADO,2,38,36,2,2,0
202425,CRPS01000V,SCUOLA SECONDARIA II GRADO,5,176,155,21,5,16
202425,PSEE84001X,SCUOLA PRIMARIA,2,45,39,6,3,3
202425,SPEE80602A,SCUOLA PRIMARIA,1,24,24,0,0,0
202425,RNEE80302C,SCUOLA PRIMARIA,1,9,8,1,0,1
202425,BRMM839015,SCUOLA SECONDARIA I GRADO,1,114,105,9,0,9
202425,CEMM815052,SCUOLA SECONDARIA I GRADO,1,18,17,1,0,1
202425,OREE812044,SCUOLA PRIMARIA,3,15,15,0,0,0
202425,MIMM8F301G,SCUOLA SECONDARIA I GRADO,3,135,107,28,5,23
202425,CZPS01801T,SCUOLA SECONDARIA II GRADO,5,88,84,4,0,4
202425,BLMM81301E,SCUOLA SECONDARIA I GRADO,1,24,16,8,0,8
202425,PGEE026027,SCUOLA PRIMARIA,2,36,28,8,2,6
202425,CLMM81001X,SCUOLA SECONDARIA I GRADO,2,195,194,1,1,0
202425,BAEE81301X,SCUOLA PRIMARIA,1,61,60,1,0,1
202425,CERI02801P,SCUOLA SECONDARIA II GRADO,3,99,90,9,0,9
202425,FEMM823017,SCUOLA SECONDARIA I GRADO,3,95,79,16,1,15
202425,SAEE8BE052,SCUOLA PRIMARIA,5,13,13,0,0,0
202425,CSEE814049,SCUOLA PRIMARIA,2,6,5,1,0,1
202425,CNMM819011,SCUOLA SECONDARIA I GRADO,2,28,23,5,2,3
202425,CTEE89803G,SCUOLA PRIMARIA,5,18,14,4,1,3
202425,NAEE332016,SCUOLA PRIMARIA,1,94,93,1,0,1
202425,CNEE806032,SCUOLA PRIMARIA,2,9,9,0,0,0
202425,KREE80903G,SCUOLA PRIMARIA,2,36,35,1,0,1
202425,MBRC060002,SCUOLA SECONDARIA II GRADO,1,190,154,36,4,32
202425,TPEE82504V,SCUOLA PRIMARIA,2,19,19,0,0,0
202425,TOEE80403V,SCUOLA PRIMARIA,1,3,1,2,1,1
202425,RMEE86703E,SCUOLA PRIMARIA,4,37,25,12,0,12
202425,LIEE826014,SCUOLA PRIMARIA,1,57,27,30,1,29
202425,LEEE83603D,SCUOLA PRIMARIA,1,9,9,0,0,0
202425,CNEE86602L,SCUOLA PRIMARIA,4,42,34,8,1,7
202425,VIEE88406E,SCUOLA PRIMARIA,4,16,16,0,0,0
202425,LTMM80302A,SCUOLA SECONDARIA I GRADO,2,90,84,6,1,5
202425,PVEE81308L,SCUOLA PRIMARIA,5,27,19,8,3,5
202425,PZEE82103C,SCUOLA PRIMARIA,3,15,14,1,0,1
202425,KREE81702D,SCUOLA PRIMARIA,4,1,1,0,0,0
202425,AGEE84001C,SCUOLA PRIMARIA,3,46,46,0,0,0
202425,BSTA01000V,SCUOLA SECONDARIA II GRADO,3,183,178,5,2,3
202425,CNEE85704X,SCUOLA PRIMARIA,3,35,33,2,0,2
202425,FIEE87701X,SCUOLA PRIMARIA,4,90,44,46,0,46
202425,APTD00401D,SCUOLA SECONDARIA II GRADO,4,22,19,3,1,2
202425,COEE80105N,SCUOLA PRIMARIA,2,5,4,1,0,1
202425,NATF17000Q,SCUOLA SECONDARIA II GRADO,1,453,445,8,1,7
202425,BGEE82901E,SCUOLA PRIMARIA,1,54,41,13,6,7
202425,TPEE066013,SCUOLA PRIMARIA,4,50,50,0,0,0
202425,VAEE836016,SCUOLA PRIMARIA,4,37,34,3,0,3
202425,TOEE8BR015,SCUOLA PRIMARIA,1,44,23,21,5,16
202425,TAEE87805G,SCUOLA PRIMARIA,1,32,31,1,1,0
202425,MNEE820028,SCUOLA PRIMARIA,2,12,9,3,0,3
202425,LTEE84301R,SCUOLA PRIMARIA,4,99,91,8,1,7
202425,NAEE8GF029,SCUOLA PRIMARIA,4,21,21,0,0,0
202425,RMTA06002L,SCUOLA SECONDARIA II GRADO,1,5,5,0,0,0
202425,MIPC170001,SCUOLA SECONDARIA II GRADO,1,192,189,3,0,3
202425,BGRI017023,SCUOLA SECONDARIA II GRADO,4,39,30,9,0,9
202425,CTMM81901B,SCUOLA SECONDARIA I GRADO,3,29,29,0,0,0
202425,SIEE81203G,SCUOLA PRIMARIA,1,38,30,8,1,7
202425,SAMM85001D,SCUOLA SECONDARIA I GRADO,2,39,37,2,0,2
202425,PIEE82804L,SCUOLA PRIMARIA,1,21,19,2,0,2
202425,PDEE87203Q,SCUOLA PRIMARIA,3,13,10,3,0,3
202425,TETD00151E,SCUOLA SECONDARIA II GRADO,4,35,28,7,1,6
202425,PATD02351A,SCUOLA SECONDARIA II GRADO,5,15,11,4,0,4
202425,SREE840012,SCUOLA PRIMARIA,2,33,33,0,0,0
202425,PAMM86501N,SCUOLA SECONDARIA I GRADO,1,134,133,1,0,1
202425,CNMM84901R,SCUOLA SECONDARIA I GRADO,2,62,56,6,1,5
202425,ALEE82802D,SCUOLA PRIMARIA,1,21,21,0,0,0
202425,VCMM80602G,SCUOLA SECONDARIA I GRADO,1,44,37,7,2,5
202425,ALEE811068,SCUOLA PRIMARIA,4,18,11,7,2,5
202425,BSTF01601G,SCUOLA SECONDARIA II GRADO,1,19,16,3,1,2
202425,VTMM83301A,SCUOLA SECONDARIA I GRADO,3,19,18,1,1,0
202425,ISMM83501A,SCUOLA SECONDARIA I GRADO,2,15,13,2,1,1
202425,VEEE834077,SCUOLA PRIMARIA,3,33,28,5,0,5
202425,SVPC00801R,SCUOLA SECONDARIA II GRADO,3,120,113,7,0,7
202425,SSMM842014,SCUOLA SECONDARIA I GRADO,2,78,77,1,0,1
202425,AQEE829025,SCUOLA PRIMARIA,1,13,12,1,0,1
202425,MEMM842017,SCUOLA SECONDARIA I GRADO,1,57,57,0,0,0
202425,FRMM84601G,SCUOLA SECONDARIA I GRADO,1,143,131,12,2,10
202425,NAEE8AL03G,SCUOLA PRIMARIA,1,14,14,0,0,0
202425,SSMM82503C,SCUOLA SECONDARIA I GRADO,2,16,14,2,0,2
202425,NAEE8DZ01X,SCUOLA PRIMARIA,2,44,43,1,0,1
202425,LUEE85001B,SCUOLA PRIMARIA,3,15,13,2,0,2
202425,RESD01000L,SCUOLA SECONDARIA II GRADO,3,212,172,40,9,31
202425,BTRA00701B,SCUOLA SECONDARIA II GRADO,4,57,55,2,0,2
202425,LEMM8AP011,SCUOLA SECONDARIA I GRADO,3,15,15,0,0,0
202425,LCEE82001L,SCUOLA PRIMARIA,2,42,38,4,1,3
202425,GEMM80601N,SCUOLA SECONDARIA I GRADO,1,49,40,9,1,8
202425,CSMM849014,SCUOLA SECONDARIA I GRADO,2,8,8,0,0,0
202425,SVEE820023,SCUOLA PRIMARIA,2,11,5,6,0,6
202425,MCMM817019,SCUOLA SECONDARIA I GRADO,3,52,50,2,0,2
202425,SPPS01001D,SCUOLA SECONDARIA II GRADO,1,11,11,0,0,0
202425,LIEE814041,SCUOLA PRIMARIA,2,43,37,6,1,5
202425,CZEE822022,SCUOLA PRIMARIA,5,26,20,6,3,3
202425,TREE81803X,SCUOLA PRIMARIA,4,7,7,0,0,0
202425,SAEE090012,SCUOLA PRIMARIA,2,40,38,2,0,2
202425,CESD04250E,SCUOLA SECONDARIA II GRADO,5,31,30,1,0,1
202425,RMMM86001L,SCUOLA SECONDARIA I GRADO,2,112,80,32,8,24
202425,AGEE855049,SCUOLA PRIMARIA,3,41,40,1,0,1
202425,RGEE820021,SCUOLA PRIMARIA,3,46,41,5,2,3
202425,MIEE88001A,SCUOLA PRIMARIA,5,48,37,11,1,10
202425,CNEE81002L,SCUOLA PRIMARIA,4,17,15,2,0,2
202425,NARH04000P,SCUOLA SECONDARIA II GRADO,1,128,115,13,1,12
202425,CEEE8AD013,SCUOLA PRIMARIA,4,41,39,2,0,2
202425,UDPC010005,SCUOLA SECONDARIA II GRADO,5,97,96,1,1,0
202425,ROTE007028,SCUOLA SECONDARIA II GRADO,4,55,50,5,1,4
202425,ENEE82702Q,SCUOLA PRIMARIA,4,2,2,0,0,0
202425,FIMM87701V,SCUOLA SECONDARIA I GRADO,3,201,146,55,0,55
202425,RAEE82903B,SCUOLA PRIMARIA,1,17,13,4,2,2
202425,NAPC06801P,SCUOLA SECONDARIA II GRADO,2,19,19,0,0,0
202425,LEEE8AN01A,SCUOLA PRIMARIA,3,41,41,0,0,0
202425,SARH03250G,SCUOLA SECONDARIA II GRADO,5,17,17,0,0,0
202425,TOEE8CH043,SCUOLA PRIMARIA,5,17,13,4,1,3
202425,FRRF00801L,SCUOLA SECONDARIA II GRADO,5,50,50,0,0,0
202425,AVEE86801E,SCUOLA PRIMARIA,3,9,9,0,0,0
202425,SAEE8CG058,SCUOLA PRIMARIA,1,58,57,1,0,1
202425,ISEE812105,SCUOLA PRIMARIA,3,8,8,0,0,0
202425,PARA014508,SCUOLA SECONDARIA II GRADO,5,30,30,0,0,0
202425,PVEE823021,SCUOLA PRIMARIA,2,7,5,2,1,1
202425,PAEE84301T,SCUOLA PRIMARIA,2,67,66,1,0,1
202425,VVEE813062,SCUOLA PRIMARIA,5,13,13,0,0,0
202425,NAPM10000C,SCUOLA SECONDARIA II GRADO,5,149,146,3,2,1
202425,REEE85203V,SCUOLA PRIMARIA,1,47,37,10,0,10
202425,RMMM88102P,SCUOLA SECONDARIA I GRADO,1,49,42,7,5,2
202425,FGTD061012,SCUOLA SECONDARIA II GRADO,4,154,150,4,2,2
202425,NATD14201A,SCUOLA SECONDARIA II GRADO,5,22,22,0,0,0
202425,MEEE83907P,SCUOLA PRIMARIA,1,17,17,0,0,0
202425,CZEE842027,SCUOLA PRIMARIA,4,13,12,1,1,0
202425,BSMM857016,SCUOLA SECONDARIA I GRADO,3,87,77,10,2,8
202425,LIEE82201R,SCUOLA PRIMARIA,3,44,43,1,0,1
202425,AGRI02101R,SCUOLA SECONDARIA II GRADO,3,42,39,3,2,1
202425,CERI018014,SCUOLA SECONDARIA II GRADO,1,29,27,2,1,1
202425,AREE819047,SCUOLA PRIMARIA,3,21,17,4,3,1
202425,VAPC020001,SCUOLA SECONDARIA II GRADO,5,130,130,0,0,0
202425,VIPS00601L,SCUOLA SECONDARIA II GRADO,4,22,22,0,0,0
202425,MEEE86102P,SCUOLA PRIMARIA,1,3,3,0,0,0
202425,FREE82604E,SCUOLA PRIMARIA,4,9,8,1,1,0
202425,NAEE8GL01R,SCUOLA PRIMARIA,1,28,28,0,0,0
202425,RMSD11001C,SCUOLA SECONDARIA II GRADO,3,75,63,12,8,4
202425,BTEE853013,SCUOLA PRIMARIA,4,74,71,3,2,1
202425,MIEE8CA037,SCUOLA PRIMARIA,5,20,20,0,0,0
202425,LERF04951N,SCUOLA SECONDARIA II GRADO,2,9,9,0,0,0
202425,NAEE105025,SCUOLA PRIMARIA,1,96,96,0,0,0
202425,ORRA009017,SCUOLA SECONDARIA II GRADO,5,89,89,0,0,0
202425,CREE812057,SCUOLA PRIMARIA,4,43,34,9,1,8
202425,NOEE82303R,SCUOLA PRIMARIA,1,39,14,25,3,22
202425,CSEE8AU038,SCUOLA PRIMARIA,1,13,13,0,0,0
202425,ISEE832032,SCUOLA PRIMARIA,4,9,9,0,0,0
202425,BOEE85104R,SCUOLA PRIMARIA,1,34,24,10,0,10
202425,RCEE87303P,SCUOLA PRIMARIA,2,8,8,0,0,0
202425,MCRI05002R,SCUOLA SECONDARIA II GRADO,3,27,23,4,0,4
202425,CAMM8AL01Q,SCUOLA SECONDARIA I GRADO,1,110,106,4,0,4
202425,NAPC19000Q,SCUOLA SECONDARIA II GRADO,2,225,224,1,0,1
202425,ANEE82902X,SCUOLA PRIMARIA,2,26,21,5,1,4
202425,RMEE8FV02T,SCUOLA PRIMARIA,1,52,36,16,0,16
202425,BIEE812041,SCUOLA PRIMARIA,5,4,4,0,0,0
202425,BNEE83901A,SCUOLA PRIMARIA,5,21,21,0,0,0
202425,MOEE82102R,SCUOLA PRIMARIA,4,96,75,21,2,19
202425,MIRI07401R,SCUOLA SECONDARIA II GRADO,1,45,15,30,1,29
202425,MIEE8DX01P,SCUOLA PRIMARIA,2,68,57,11,0,11
202425,AVEE807024,SCUOLA PRIMARIA,1,7,7,0,0,0
202425,ALEE824026,SCUOLA PRIMARIA,4,12,12,0,0,0
202425,TVEE87405G,SCUOLA PRIMARIA,3,32,16,16,2,14
202425,BSTD02801G,SCUOLA SECONDARIA II GRADO,2,47,31,16,4,12
202425,AVRH01201R,SCUOLA SECONDARIA II GRADO,2,37,30,7,1,6
202425,ARMM818017,SCUOLA SECONDARIA I GRADO,3,88,75,13,4,9
202425,RMEE8AQ02R,SCUOLA PRIMARIA,4,19,7,12,6,6
202425,CNEE84001B,SCUOLA PRIMARIA,2,19,19,0,0,0
202425,CARI03302R,SCUOLA SECONDARIA II GRADO,4,44,43,1,0,1
202425,SAMM8B3015,SCUOLA SECONDARIA I GRADO,3,27,26,1,0,1
202425,RCEE843051,SCUOLA PRIMARIA,4,1,1,0,0,0
202425,LUEE82002L,SCUOLA PRIMARIA,4,22,13,9,5,4
202425,BTTD05701P,SCUOLA SECONDARIA II GRADO,2,54,53,1,1,0
202425,CZTE02151A,SCUOLA SECONDARIA II GRADO,4,16,13,3,0,3
202425,PDEE85104Q,SCUOLA PRIMARIA,5,23,22,1,0,1
202425,RMEE8C9018,SCUOLA PRIMARIA,4,61,56,5,3,2
202425,BNMM84401R,SCUOLA SECONDARIA I GRADO,2,101,97,4,0,4
202425,REEE826029,SCUOLA PRIMARIA,3,2,2,0,0,0
202425,MBEE8EZ03R,SCUOLA PRIMARIA,3,45,40,5,2,3
202425,UDEE80903P,SCUOLA PRIMARIA,1,6,6,0,0,0
202425,MIPC040008,SCUOLA SECONDARIA II GRADO,3,183,178,5,0,5
202425,LIEE81602E,SCUOLA PRIMARIA,4,16,14,2,1,1
202425,COEE85603Q,SCUOLA PRIMARIA,5,24,23,1,0,1
202425,NAEE8EE028,SCUOLA PRIMARIA,1,10,10,0,0,0
202425,SSEE843011,SCUOLA PRIMARIA,3,38,36,2,1,1
202425,CAEE83001E,SCUOLA PRIMARIA,5,49,46,3,0,3
202425,CNEE83104Q,SCUOLA PRIMARIA,1,17,15,2,0,2
202425,BSEE894038,SCUOLA PRIMARIA,4,11,8,3,0,3
202425,NOEE819013,SCUOLA PRIMARIA,3,28,26,2,0,2
202425,RAMM81901N,SCUOLA SECONDARIA I GRADO,2,172,152,20,7,13
202425,FGEE878035,SCUOLA PRIMARIA,1,39,38,1,0,1
202425,SRPS014012,SCUOLA SECONDARIA II GRADO,4,92,90,2,1,1
202425,GRTF012018,SCUOLA SECONDARIA II GRADO,1,48,40,8,2,6
202425,CRTF001017,SCUOLA SECONDARIA II GRADO,5,39,26,13,0,13
202425,PZMM878059,SCUOLA SECONDARIA I GRADO,1,9,9,0,0,0
202425,CNEE81411A,SCUOLA PRIMARIA,4,3,3,0,0,0
202425,TPEE80604D,SCUOLA PRIMARIA,4,12,10,2,2,0
202425,MBEE87502R,SCUOLA PRIMARIA,3,71,49,22,1,21
202425,RMEE8C410G,SCUOLA PRIMARIA,2,20,20,0,0,0
202425,RMEE897018,SCUOLA PRIMARIA,2,105,98,7,6,1
202425,RGEE83502P,SCUOLA PRIMARIA,3,26,23,3,0,3
202425,VIEE81408A,SCUOLA PRIMARIA,1,23,22,1,1,0
202425,TPEE836038,SCUOLA PRIMARIA,1,12,12,0,0,0
202425,CSEE8AT03C,SCUOLA PRIMARIA,2,13,13,0,0,0
202425,FOEE814023,SCUOLA PRIMARIA,1,6,6,0,0,0
202425,LUPM00301B,SCUOLA SECONDARIA II GRADO,5,76,76,0,0,0
202425,AVEE837031,SCUOLA PRIMARIA,4,9,9,0,0,0
202425,CSEE87106G,SCUOLA PRIMARIA,1,12,12,0,0,0
202425,BSPM027011,SCUOLA SECONDARIA II GRADO,3,43,39,4,0,4
202425,NAMM8A501Q,SCUOLA SECONDARIA I GRADO,3,68,66,2,0,2
202425,BSPS00901A,SCUOLA SECONDARIA II GRADO,2,104,96,8,4,4
202425,CZMM865041,SCUOLA SECONDARIA I GRADO,1,5,5,0,0,0
202425,AVMM837041,SCUOLA SECONDARIA I GRADO,3,8,8,0,0,0
202425,PGEE85405D,SCUOLA PRIMARIA,2,16,13,3,0,3
202425,NAEE8FP01D,SCUOLA PRIMARIA,4,24,24,0,0,0
202425,SIMM81202D,SCUOLA SECONDARIA I GRADO,3,93,85,8,1,7
202425,VESL02401Q,SCUOLA SECONDARIA II GRADO,4,122,113,9,2,7
202425,MBMM86301C,SCUOLA SECONDARIA I GRADO,1,87,83,4,0,4
202425,PCEE80506D,SCUOLA PRIMARIA,5,10,3,7,1,6
202425,MIEE858026,SCUOLA PRIMARIA,2,29,24,5,0,5
202425,CSTF02701V,SCUOLA SECONDARIA II GRADO,5,19,17,2,0,2
202425,PAEE8AG02A,SCUOLA PRIMARIA,3,90,89,1,0,1
202425,TOMM84701N,SCUOLA SECONDARIA I GRADO,3,61,52,9,5,4
202425,REEE834017,SCUOLA PRIMARIA,3,44,33,11,1,10
202425,MBMM8EW016,SCUOLA SECONDARIA I GRADO,3,123,92,31,2,29
202425,GEEE838016,SCUOLA PRIMARIA,2,45,33,12,2,10
202425,VAEE830017,SCUOLA PRIMARIA,1,23,21,2,0,2
202425,CNEE82607B,SCUOLA PRIMARIA,5,27,21,6,2,4
202425,PDEE89503C,SCUOLA PRIMARIA,4,60,51,9,2,7
202425,CHEE839036,SCUOLA PRIMARIA,2,18,18,0,0,0
202425,IMMM815021,SCUOLA SECONDARIA I GRADO,1,20,12,8,3,5
202425,BOMM82403A,SCUOLA SECONDARIA I GRADO,1,33,29,4,0,4
202425,GERH012018,SCUOLA SECONDARIA II GRADO,2,25,23,2,0,2
202425,PAEE8BB02T,SCUOLA PRIMARIA,1,36,36,0,0,0
202425,VTEE822033,SCUOLA PRIMARIA,4,11,9,2,0,2
202425,SAPC02201Q,SCUOLA SECONDARIA II GRADO,3,17,16,1,0,1
202425,PCMM81201A,SCUOLA SECONDARIA I GRADO,1,76,56,20,2,18
202425,MIEE82002Q,SCUOLA PRIMARIA,3,14,11,3,0,3
202425,NAPS55000X,SCUOLA SECONDARIA II GRADO,5,131,127,4,1,3
202425,MSEE816064,SCUOLA PRIMARIA,5,3,3,0,0,0
202425,SREE82101L,SCUOLA PRIMARIA,1,39,38,1,1,0
202425,RMEE86001N,SCUOLA PRIMARIA,1,52,30,22,4,18
202425,COPS00301N,SCUOLA SECONDARIA II GRADO,5,82,82,0,0,0
202425,PAEE88604V,SCUOLA PRIMARIA,3,13,13,0,0,0
202425,RMEE8E6023,SCUOLA PRIMARIA,4,32,27,5,1,4
202425,BLEE81302L,SCUOLA PRIMARIA,1,8,7,1,0,1
202425,NATF091011,SCUOLA SECONDARIA II GRADO,5,129,127,2,0,2
202425,FREE83701T,SCUOLA PRIMARIA,3,70,59,11,8,3
202425,ISTF01601L,SCUOLA SECONDARIA II GRADO,1,23,21,2,0,2
202425,PDRC02101T,SCUOLA SECONDARIA II GRADO,1,24,17,7,1,6
202425,PAEE8AQ015,SCUOLA PRIMARIA,3,14,14,0,0,0
202425,VIEE81105Q,SCUOLA PRIMARIA,2,18,17,1,0,1
202425,AGMM819023,SCUOLA SECONDARIA I GRADO,3,29,29,0,0,0
202425,VEEE87303N,SCUOLA PRIMARIA,5,54,41,13,2,11
202425,GERI01301G,SCUOLA SECONDARIA II GRADO,3,18,11,7,2,5
202425,MIMM8FU01B,SCUOLA SECONDARIA I GRADO,1,53,34,19,0,19
202425,AVMM86201E,SCUOLA SECONDARIA I GRADO,1,60,59,1,0,1
202425,CORC010008,SCUOLA SECONDARIA II GRADO,4,109,88,21,0,21
202425,CZPS02000R,SCUOLA SECONDARIA II GRADO,1,204,199,5,0,5
202425,BGEE83906A,SCUOLA PRIMARIA,1,23,21,2,0,2
202425,LEMM86501A,SCUOLA SECONDARIA I GRADO,2,91,84,7,0,7
202425,AVMM807067,SCUOLA SECONDARIA I GRADO,1,7,7,0,0,0
202425,LCEE809041,SCUOLA PRIMARIA,1,19,17,2,0,2
202425,TOEE8BG02E,SCUOLA PRIMARIA,2,7,6,1,0,1
202425,RMRC12202T,SCUOLA SECONDARIA II GRADO,4,16,15,1,0,1
202425,VEEE83001N,SCUOLA PRIMARIA,2,35,31,4,2,2
202425,RMEE8EY04R,SCUOLA PRIMARIA,3,26,12,14,0,14
202425,PGEE834025,SCUOLA PRIMARIA,3,23,19,4,2,2
202425,VIEE88406E,SCUOLA PRIMARIA,5,11,11,0,0,0
202425,CBPM040008,SCUOLA SECONDARIA II GRADO,4,151,147,4,1,3
202425,ATEE80803A,SCUOLA PRIMARIA,1,17,11,6,2,4
202425,PVEE81308L,SCUOLA PRIMARIA,4,49,32,17,7,10
202425,VIEE83301C,SCUOLA PRIMARIA,1,16,15,1,1,0
202425,FREE83202Q,SCUOLA PRIMARIA,2,15,13,2,0,2
202425,PDSD02301B,SCUOLA SECONDARIA II GRADO,2,84,81,3,2,1
202425,VIMM81201A,SCUOLA SECONDARIA I GRADO,3,80,74,6,0,6
202425,PVMM800038,SCUOLA SECONDARIA I GRADO,1,8,5,3,2,1
202425,VTTD00601V,SCUOLA SECONDARIA II GRADO,2,35,28,7,2,5
202425,CNTF017509,SCUOLA SECONDARIA II GRADO,4,12,9,3,0,3
202425,TOPS071014,SCUOLA SECONDARIA II GRADO,5,81,72,9,6,3
202425,PTMM810016,SCUOLA SECONDARIA I GRADO,3,121,107,14,3,11
202425,PAEE8A2016,SCUOLA PRIMARIA,1,37,34,3,0,3
202425,AGRI02452P,SCUOLA SECONDARIA II GRADO,4,18,16,2,1,1
202425,BLMM830018,SCUOLA SECONDARIA I GRADO,2,47,44,3,0,3
202425,BOEE84401E,SCUOLA PRIMARIA,2,40,31,9,3,6
202425,RCPM03201X,SCUOLA SECONDARIA II GRADO,1,84,83,1,1,0
202425,FITL01301Q,SCUOLA SECONDARIA II GRADO,3,58,51,7,0,7
202425,PGEE83108X,SCUOLA PRIMARIA,1,17,12,5,1,4
202425,TVEE876013,SCUOLA PRIMARIA,2,27,24,3,0,3
202425,NUPS018033,SCUOLA SECONDARIA II GRADO,3,26,26,0,0,0
202425,LEEE89301G,SCUOLA PRIMARIA,5,88,86,2,0,2
202425,CNEE847038,SCUOLA PRIMARIA,3,20,17,3,2,1
202425,BNRH01201L,SCUOLA SECONDARIA II GRADO,1,14,14,0,0,0
202425,MEEE86204L,SCUOLA PRIMARIA,4,33,1,32,1,31
202425,ROEE81505E,SCUOLA PRIMARIA,3,16,11,5,2,3
202425,CZEE873041,SCUOLA PRIMARIA,4,6,6,0,0,0
202425,TOMM82101D,SCUOLA SECONDARIA I GRADO,2,97,88,9,3,6
202425,RNEE813056,SCUOLA PRIMARIA,3,25,24,1,0,1
202425,ATEE811025,SCUOLA PRIMARIA,3,10,9,1,0,1
202425,BGMM846028,SCUOLA SECONDARIA I GRADO,3,92,85,7,1,6
202425,VIEE871017,SCUOLA PRIMARIA,3,65,59,6,2,4
202425,TRMM823029,SCUOLA SECONDARIA I GRADO,3,86,80,6,0,6
202425,LUEE84603T,SCUOLA PRIMARIA,2,40,40,0,0,0
202425,VBEE814043,SCUOLA PRIMARIA,2,15,15,0,0,0
202425,RMEE8G6017,SCUOLA PRIMARIA,4,56,31,25,0,25
202425,POEE81102A,SCUOLA PRIMARIA,2,6,4,2,0,2
202425,BORC03000L,SCUOLA SECONDARIA II GRADO,4,183,120,63,10,53
202425,PAEE86501P,SCUOLA PRIMARIA,5,35,35,0,0,0
202425,VTEE81607X,SCUOLA PRIMARIA,4,21,19,2,2,0
202425,SAEE8CJ015,SCUOLA PRIMARIA,4,18,18,0,0,0
202425,TPTF014519,SCUOLA SECONDARIA II GRADO,2,65,54,11,0,11
202425,BSEE84201D,SCUOLA PRIMARIA,3,64,44,20,5,15
202425,ENPS013019,SCUOLA SECONDARIA II GRADO,1,35,34,1,0,1
202425,FIEE862038,SCUOLA PRIMARIA,4,41,29,12,2,10
202425,PNTA00401B,SCUOLA SECONDARIA II GRADO,3,69,68,1,0,1
202425,MNEE818017,SCUOLA PRIMARIA,2,54,34,20,5,15
202425,SAEE86901G,SCUOLA PRIMARIA,3,11,11,0,0,0
202425,TVPC120008,SCUOLA SECONDARIA II GRADO,4,171,166,5,1,4
202425,REPC02000N,SCUOLA SECONDARIA II GRADO,5,149,140,9,2,7
202425,UDEE86105T,SCUOLA PRIMARIA,5,13,11,2,1,1
202425,SATF04601D,SCUOLA SECONDARIA II GRADO,5,123,119,4,0,4
202425,IMEE801024,SCUOLA PRIMARIA,5,13,10,3,0,3
202425,TOTD00352Q,SCUOLA SECONDARIA II GRADO,2,2,2,0,0,0
202425,VAEE853054,SCUOLA PRIMARIA,4,41,40,1,0,1
202425,METD11050A,SCUOLA SECONDARIA II GRADO,4,13,11,2,1,1
202425,SAPC10000P,SCUOLA SECONDARIA II GRADO,3,199,190,9,2,7
202425,PAPM04000V,SCUOLA SECONDARIA II GRADO,1,391,384,7,0,7
202425,NUMM863019,SCUOLA SECONDARIA I GRADO,1,30,30,0,0,0
202425,TSEE82003B,SCUOLA PRIMARIA,2,8,8,0,0,0
202425,VAMM84601Q,SCUOLA SECONDARIA I GRADO,2,39,33,6,0,6
202425,SVEE820023,SCUOLA PRIMARIA,3,20,12,8,0,8
202425,PVTD010005,SCUOLA SECONDARIA II GRADO,4,159,133,26,10,16
202425,SAEE8CC02T,SCUOLA PRIMARIA,4,47,45,2,1,1
202425,CREE80001R,SCUOLA PRIMARIA,3,63,9,54,13,41
202425,UDMM84601E,SCUOLA SECONDARIA I GRADO,2,63,60,3,1,2
202425,RMEE220023,SCUOLA PRIMARIA,5,55,49,6,3,3
202425,VREE890011,SCUOLA PRIMARIA,4,29,14,15,4,11
202425,VAEE82001L,SCUOLA PRIMARIA,1,50,44,6,1,5
202425,PRTD00401N,SCUOLA SECONDARIA II GRADO,5,16,11,5,1,4
202425,MNEE818028,SCUOLA PRIMARIA,1,16,11,5,1,4
202425,PZEE85901R,SCUOLA PRIMARIA,3,34,33,1,0,1
202425,NAEE02401L,SCUOLA PRIMARIA,4,96,92,4,0,4
202425,COEE84702X,SCUOLA PRIMARIA,3,19,16,3,1,2
202425,BREE846019,SCUOLA PRIMARIA,1,109,101,8,3,5
202425,VCEE81502B,SCUOLA PRIMARIA,4,13,13,0,0,0
202425,CTPS04901R,SCUOLA SECONDARIA II GRADO,4,171,164,7,1,6
202425,NOEE00701T,SCUOLA PRIMARIA,5,58,42,16,0,16
202425,TPTD00802B,SCUOLA SECONDARIA II GRADO,1,29,27,2,1,1
